site,al,ca,dy,mn,na,k,u,eu,sm,la,ti,lu,nd,co,sc,fe,ce,yb,cs,ta,cr,th,ni,rb,tb,hf,zn,id
"Festos [Phaistos]",76800,114000,3.98,789,6020,18700,2.89,1.05,4.644,27.9,4050,.337,23.4,27.68,19.52,50500,55.4,2.36,7.8,.912,318.6,9.56,253,139,.733,4.2,122,609
"Festos [Phaistos]",90500,64000,3.91,849,5580,28100,2.42,1.15,4.426,28.17,4140,.37,22.4,42.54,26.53,68700,53.2,2.42,9.8,.875,483.6,10.69,585,186,.709,3.75,147,610
"Festos [Phaistos]",80300,86700,4.48,868,8620,21700,2.94,1.178,5.101,29.31,5040,.424,28.8,33.33,23.03,60100,60.7,2.64,9,1.019,395.8,10.67,386,135,.728,4.09,114,611
"Festos [Phaistos]",72600,106500,3.95,942,6160,16600,2.84,1.109,4.57,26.81,4320,.338,21.2,33.21,21.45,57000,53.5,2.56,6.8,.851,399,9.35,349,139,.639,3.48,121,612
"Festos [Phaistos]",63200,89300,4.04,1066,9050,17100,2.05,1.074,4.295,23.8,3750,.324,19.6,30.82,17.66,48800,48.5,2.24,4.7,.795,472.5,8.34,393,106,.729,3.4,105,613
"Festos [Phaistos]",70100,101700,4.07,754,10760,16500,2.21,1.148,4.513,26.86,4340,.341,24.3,30.79,20.98,53100,53.2,2.25,7.2,.916,388.6,8.71,348,117,.788,4.47,105,614
"Festos [Phaistos]",76600,61900,4.29,821,6930,20500,2.19,1.069,4.608,28.24,4160,.356,22.5,41.59,23.39,61500,56.6,2.38,7.7,.9,533.8,9.69,523,130,.673,4.72,112,615
"Festos [Phaistos]",78400,80100,4.09,762,7780,20800,2.41,1.14,4.862,28.52,4810,.355,21.2,31.77,22.64,56500,57,2.33,7.9,.974,390.3,9.7,336,145,.823,4.19,110,616
"Festos [Phaistos]",77200,86700,3.7,914,6810,19900,2.36,1.103,4.373,26.89,3730,.336,24.3,36.71,22.17,59000,52.8,2.36,7.1,.859,487.5,9.46,466,147,.672,3.64,110,617
"Festos [Phaistos]",75500,100500,3.94,794,4770,22900,2.95,1.088,4.589,28.29,4020,.339,22.5,33.61,21.17,55600,55,2.28,9.2,.957,371.8,9.55,339,120,.727,3.37,134,618
"Festos [Phaistos]",65500,76400,3.94,1223,8620,20800,2.18,1.084,4.681,28.27,3850,.32,24.3,32.14,18.9,50000,51.7,2.17,5.2,.858,501.6,8.96,380,87,.73,3.85,78,619
"Festos [Phaistos]",71800,56400,4.46,1015,8990,20900,2.11,1.096,4.824,29.35,4110,.356,26.9,33.35,19.4,52900,57.5,2.3,5.8,.925,514,9.53,381,127,.808,4.41,104,620
"Festos [Phaistos]",78500,99400,3.97,894,6720,19200,2.15,1.027,4.371,25.65,3900,.347,22.4,39.98,24.56,62900,52.6,2.48,9.3,.853,494.6,9.6,470,123,.69,4.01,132,621
"Festos [Phaistos]",63600,52500,4.07,977,8940,16700,2,1.177,4.624,27.73,4110,.339,23.2,30.8,18.45,51000,54.3,2.25,5.4,.886,491.3,9.15,373,106,.729,4.38,102,622
"Festos [Phaistos]",76600,103200,3.91,976,6720,22900,2.92,1.086,4.69,29.54,4010,.368,24.4,35.43,22.11,59400,56.2,2.31,8.4,.927,425.3,9.61,366,116,.713,4.29,135,623
"Glas (Arne) [Gla]",76500,75000,4.2,921,5370,17987,2.34,1.1459,4.92,29.8,5040,.4344,25.4,26.8,21.09,55600,62,2.8645,6.46,1.065,269,11.86,192,129,.73,3.86,105,624
"Glas (Arne) [Gla]",78600,66000,4.46,789,5530,19664,2.36,1.2534,5.03,30.7,5210,.3932,24.8,26.4,20.89,54800,62.8,2.7165,6.48,1.067,254,11.7,196,117,.82,4.63,104,625
"Glas (Arne) [Gla]",79600,25000,5.48,811,10160,13141,2.42,1.2892,5.47,30.3,5550,.4376,28.8,28.9,18.43,53500,64.9,3.0124,3.93,1.135,370,11.87,328,103,.9,5.55,101,626
"Kallithea",74200,105000,4.52,1042,5560,27586,2.47,1.1638,5.24,32.4,4540,.3921,28.6,30.2,21.83,53500,65.1,2.6742,9.44,.926,235,10.8,230,154,.83,4.09,140,633
"Kallithea",87400,122000,4.47,781,4900,25163,2.3,1.1996,5.28,33.6,4810,.4059,27.2,27,22.34,52100,65.9,2.9702,13.17,.948,236,11.37,206,158,.73,3.16,129,634
"Kallithea",74900,90000,4.15,857,4440,25256,2.23,1.1459,4.79,28.5,4250,.3636,26.6,25.6,20.67,51500,57.7,2.7376,8.27,.936,236,10.33,221,149,.76,3.14,86,635
"Kallithea",62000,119000,3.86,531,9810,12768,2,1.0564,4.51,26.2,3660,.3319,24.1,18.32,16.5,43400,51.2,2.4417,6.09,.894,438,8.45,276,71,.62,4.58,90,636
"Knossos",75800,83000,4.53,979,6530,24200,2.25,1.31,4.86,28.1,4760,.368,26.7,39.7,23.73,62400,59.5,2.52,7.03,.965,425,10.06,468,109,.68,3.75,207,637
"Knossos",69500,93000,4.9,702,6250,20100,3.2,1.34,4.9,28.2,4330,.379,27.9,31.6,21.09,54000,55.5,2.65,6.83,.882,409,9.18,437,109,.71,3.57,180,638
